interaction.name	interaction
ARID1A_KO__Ada	genotypeARID1A_KO.treatmentAda
ARID1A_KO__CPT	genotypeARID1A_KO.treatmentCPT
ARID1A_KO__HU	genotypeARID1A_KO.treatmentHU
ARID1A_KO__MLN	genotypeARID1A_KO.treatmentMLN
ARID1A_KO__MMS	genotypeARID1A_KO.treatmentMMS
ARID1A_KO__Pbc	genotypeARID1A_KO.treatmentPbc
ARID1B_KO__Ada	genotypeARID1B_KO.treatmentAda
ARID1B_KO__CPT	genotypeARID1B_KO.treatmentCPT
ARID1B_KO__HU	genotypeARID1B_KO.treatmentHU
ARID1B_KO__MLN	genotypeARID1B_KO.treatmentMLN
ARID1B_KO__MMS	genotypeARID1B_KO.treatmentMMS
ARID1B_KO__Pbc	genotypeARID1B_KO.treatmentPbc
ARID2_KO__Ada	genotypeARID2_KO.treatmentAda
ARID2_KO__CPT	genotypeARID2_KO.treatmentCPT
ARID2_KO__HU	genotypeARID2_KO.treatmentHU
ARID2_KO__MLN	genotypeARID2_KO.treatmentMLN
ARID2_KO__MMS	genotypeARID2_KO.treatmentMMS
ARID2_KO__Pbc	genotypeARID2_KO.treatmentPbc
BRD9_KO__Ada	genotypeBRD9_KO.treatmentAda
BRD9_KO__CPT	genotypeBRD9_KO.treatmentCPT
BRD9_KO__MMS	genotypeBRD9_KO.treatmentMMS
BRD9_KO__Pbc	genotypeBRD9_KO.treatmentPbc
SMARCA4_KO__Ada	genotypeSMARCA4_KO.treatmentAda
SMARCA4_KO__CPT	genotypeSMARCA4_KO.treatmentCPT
SMARCA4_KO__HU	genotypeSMARCA4_KO.treatmentHU
SMARCA4_KO__MLN	genotypeSMARCA4_KO.treatmentMLN
SMARCA4_KO__MMS	genotypeSMARCA4_KO.treatmentMMS
SMARCA4_KO__Pbc	genotypeSMARCA4_KO.treatmentPbc
